trip_distance,passenger_count,tip_amount
6.5,2,0.0
1.4,2,1.95
4.33,1,5.06
3.69,1,3.95
1.09,1,1.96
0.48,3,1.1
3.74,3,3.56
2.53,2,3.58
1.14,1,0.0
5.09,1,4.86
5.33,1,0.0
0.53,1,1.82
0.52,1,0.0
1.17,1,2.2
0.66,2,1.54
1.28,2,2.06
1.33,1,1.0
5.1,2,4.95
2.31,2,0.0
2.47,3,2.96
10.99,2,7.36
2.94,1,3.06
2.43,5,2.76
5.63,5,4.76
0.9,1,0.0
0.7,1,0.0
0.86,5,2.64
2.24,1,3.82
4.65,3,3.0
3.5,2,0.0
2.74,1,1.5
4.04,1,3.76
4.6,2,5.15
5.09,2,4.86
1.95,2,1.86
1.05,5,2.06
3.22,1,0.0
5.48,2,0.0
2.97,1,0.0
3.4,1,3.35
3.81,1,3.76
4.8,1,4.65
8.15,1,6.16
4.83,1,3.96
2.82,1,3.06
5.76,1,4.46
0.35,1,1.46
7.46,1,5.46
5.3,1,0.0
3.1,1,3.0
4.47,1,0.0
6.97,1,3.5
3.03,1,2.96
3.33,1,2.0
2.89,2,0.0
1.03,5,2.04
1.35,1,0.0
6.64,2,4.96
2.58,1,2.76
4.46,1,4.16
0.46,1,0.0
2.8,1,2.85
1.2,1,0.0
1.0,1,1.76
8.0,1,4.55
3.5,2,0.0
0.3,1,1.45
5.91,1,7.44
1.7,1,2.7
8.68,3,0.0
4.8,1,2.0
0.39,1,0.0
1.84,1,0.0
0.64,3,0.0
4.61,1,0.0
16.74,1,8.0
15.41,1,10.7
1.57,1,1.84
0.86,6,0.0
4.07,1,0.0
1.2,3,2.7
7.1,1,8.35
1.91,1,2.32
1.33,6,1.0
0.0,1,0.66
0.84,1,0.0
3.22,2,2.0
2.52,2,1.0
3.18,1,3.36
5.41,1,6.24
3.04,1,0.0
1.54,3,3.0
1.2,1,0.0
2.71,1,1.0
17.12,1,12.28
2.07,1,0.0
19.3,2,12.25
1.04,3,0.0
1.43,1,2.26
1.05,1,0.0
16.9,2,0.0
1.48,1,2.56
21.94,1,0.0
3.4,0,1.0
1.89,1,2.46
3.2,1,3.16
2.11,1,2.66
2.6,1,0.0
3.53,1,0.0
2.98,1,3.06
2.5,3,2.65
2.79,1,1.96
6.82,1,0.0
0.83,1,0.0
1.04,1,2.45
1.7,3,0.0
2.0,2,0.0
0.73,2,1.0
5.3,2,4.36
1.0,3,0.0
3.56,5,4.58
16.6,1,9.15
2.3,1,0.0
23.2,1,0.0
1.37,1,1.0
1.3,1,2.45
0.82,2,1.76
0.0,1,0.0
11.43,1,0.0
1.35,1,2.16
0.36,5,1.26
2.03,4,2.46
1.3,1,0.0
2.7,3,4.29
3.67,1,1.0
1.0,1,0.0
0.84,1,2.06
0.53,5,1.46
5.02,1,1.0
0.67,1,0.0
10.3,1,0.0
1.1,1,2.25
1.6,1,0.0
3.29,1,0.0
1.1,1,2.33
1.2,3,0.0
5.64,1,0.0
1.37,1,3.09
7.36,1,6.26
